Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
223052,OIE,45.7853,15.9869,Europe,Croatia,Grad Zagreb,Lake Bundek,Exact,23/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,mute swan (cygnus olor))",,1,1,0,0,,,,
223050,OIE,9.9306,8.7146,Africa,Nigeria,Plateau,Kufang,Exact,20/01/2017,30/01/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",1500,60,60,1440,0,,0,,
223049,OIE,9.9346,8.7439,Africa,Nigeria,Plateau,Kufang,Exact,18/01/2017,06/02/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",2500,350,20,2170,0,,0,,
223048,OIE,49.1,1.7833,Europe,France,Ile-de-France,ARTHIES,Exact,18/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N2 LPAI,"domestic, pheasant",9050,0,0,0,0,,,,
223047,OIE,43.43,0.4156,Europe,France,Midi-Pyrenees,SAINT MICHEL,Exact,21/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, common kestrel",,1,1,0,0,,,,
223046,OIE,43.379722,0.406944,Europe,France,Midi-Pyrenees,BARCUGNAN,Exact,19/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, buzzard",,1,1,0,0,,,,
223045,OIE,47.395154,-1.106358,Europe,France,Pays-de-la-Loire,VAIR SUR LOIRE,Exact,17/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,mute swan (cygnus olor))",,1,1,0,0,,,,
223044,OIE,43.4742,-1.021389,Europe,France,Aquitaine,SAINT DOS,Exact,07/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, pigeon",,1,1,0,0,,,,
223043,OIE,43.2033,0.2264,Europe,France,Midi-Pyrenees,BORDES,Exact,24/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",800,0,0,0,0,,,,
223042,OIE,43.3161,0.3028,Europe,France,Midi-Pyrenees,LUBRET SAINT LUC,Exact,24/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",5508,0,0,0,0,,,,
223041,OIE,43.345,0.6475,Europe,France,Midi-Pyrenees,SAINT BLANCARD,Exact,23/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",250,0,0,0,0,,,,
223040,OIE,43.7075,-0.145278,Europe,France,Midi-Pyrenees,LELIN LAPUJOLLE,Exact,23/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",6000,0,0,6000,0,,,,
223039,OIE,43.3547,0.3181,Europe,France,Midi-Pyrenees,BERNADETS DEBAT,Exact,20/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",8800,0,0,8800,0,,,,
223038,OIE,43.3222,0.3711,Europe,France,Midi-Pyrenees,TRIE SUR BAISE,Exact,19/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",3337,0,0,3337,0,,,,
223037,OIE,43.4328,0.785,Europe,France,Midi-Pyrenees,TOURNAN,Exact,19/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, goose",,,,,,,,,
223036,OIE,43.830833,-0.500556,Europe,France,Aquitaine,BENQUET,Exact,19/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",12000,0,0,12000,0,,,,
223035,OIE,43.5622,-0.229167,Europe,France,Aquitaine,CASTETPUGON,Exact,19/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",3000,0,0,3000,0,,,,
223034,OIE,43.3578,0.3383,Europe,France,Midi-Pyrenees,SARRAGUZAN,Exact,18/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",10608,0,0,10608,0,,,,
223033,OIE,43.6747,-0.355,Europe,France,Aquitaine,BAHUS SOUBIRAN,Exact,17/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",980,0,0,980,0,,,,
223032,OIE,43.6133,-0.434444,Europe,France,Aquitaine,ARBOUCAVE,Exact,17/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",27500,,45,27455,,,,,
223031,OIE,43.595833,-0.325833,Europe,France,Aquitaine,MIRAMONT SENSACQ,Exact,17/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",11200,0,0,11200,0,,,,
223030,OIE,43.5681,-0.545833,Europe,France,Aquitaine,PEYRE,Exact,16/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",2982,,2982,0,,,,,
223029,OIE,43.6572,-0.178889,Europe,France,Midi-Pyrenees,CORNEILLAN,Exact,16/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",1050,0,0,1050,0,,,,
223028,OIE,43.576944,-0.376667,Europe,France,Aquitaine,PIMBO,Exact,16/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",1600,,0,1600,0,,,,
223027,OIE,43.743056,-0.481667,Europe,France,Aquitaine,MONTGAILLARD,Exact,15/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",6300,,35,6265,,,,,
223026,OIE,43.552778,-0.621667,Europe,France,Aquitaine,BASSERCLES,Exact,12/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",,,,,,,,,
223025,OIE,43.8336,-0.177778,Europe,France,Midi-Pyrenees,TOUJOUSE,Exact,12/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N9 LPAI,"domestic, duck",7880,0,0,7880,0,,,,
223024,OIE,43.8256,-0.2725,Europe,France,Aquitaine,HONTANX,Exact,16/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N1 LPAI,"domestic, duck",1597,0,0,1597,0,,,,
223023,OIE,43.5867,-0.507778,Europe,France,Aquitaine,MANT,Exact,16/01/2017,27/01/2017,Confirmed,Influenza - Avian,H5N1 LPAI,"domestic, duck",,,,,,,,,
223008,OIE,31.951338,34.920755,Asia,Israel,Central District,BEN SHEMEN (MOSHAV),Exact,24/12/2016,25/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, buzzard",,1,1,0,0,,,,
223007,OIE,31.218974,34.88099,Asia,Israel,Southern District,NEVATIM,Exact,24/12/2016,25/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,barn owl (tyto alba))",,1,1,0,0,,,,
223006,OIE,31.766631,35.002596,Asia,Israel,Jerusalem,NAHAM,Exact,24/12/2016,25/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",,,,,,,,,
223005,OIE,32.38046,34.879043,Asia,Israel,Central District,KEFAR VITKIN,Exact,22/12/2016,25/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",9000,,100,0,0,,,,
223004,OIE,32.553673,34.915682,Asia,Israel,Haifa,MA''''''''AGAN MIKHA''''''''EL,Exact,21/12/2016,25/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,herring gull,wild,great egret (ardea alba))",,5,5,0,0,,,,
223003,OIE,31.777611,35.224262,Asia,Israel,Jerusalem,JERUSALEM,Exact,20/12/2016,25/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, falcon",,1,1,0,0,,,,
223002,OIE,32.568154,34.940126,Asia,Israel,Haifa,MA''''''''''''''''YAN ZEVI,Exact,18/12/2016,25/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",7000,,200,6800,0,,,,
223001,OIE,33.051056,35.608884,Asia,Israel,Northern,HULA RESERVE,Exact,18/12/2016,25/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, peregrine falcon, wild, crane",,2,2,0,0,,,,
223000,OIE,32.096569,34.943612,Asia,Israel,Central District,ROSH HAAYIN,Exact,17/12/2016,25/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, cormorant",,1,1,0,0,,,,
222999,OIE,31.762062,34.967775,Asia,Israel,Jerusalem,ZOR''''A,Exact,12/12/2016,25/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",19900,,500,19400,0,,,,
222998,OIE,31.731085,34.834908,Asia,Israel,Southern District,KEFAR MENAHEM,Exact,10/12/2016,25/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, greylag goose",,2,2,0,0,,,,
